3497	329
5574	250
48957	35
6355	241
49100	185
557	32
30581	143
42401	48
13125	52
12831	99
32168	84
34475	214
25479	199
43938	165
42154	11
37884	239
36107	266
32739	293
49000	285
29847	66
10502	253
12006	326
30306	322
680	231
38562	213
21043	143
13236	331
10081	98
50793	37
29825	37
28931	245
16534	205
35007	123
13725	303
3779	244
2674	293
24411	184
18208	223
4516	276
30838	303
16028	207
16605	223
44579	48
24144	45
21083	154
46865	154
48109	322
32985	30
50085	293
32944	71
399	185
41908	169
24377	58
20549	101
11970	227
47043	115
8907	293
21545	245
25188	331
46824	99
11181	279
47497	39
21894	159
4673	229
28636	326
23791	12
2552	39
14622	66
14704	33
43711	273
1051	16
5231	344
18166	141
26576	75
10696	165
33551	217
43329	204
12307	206
1629	104
24263	50
5658	0
29987	118
2579	60
4370	185
50390	154
49774	143
19606	32
3871	11
7264	217
28934	1
1936	45
50845	287
17134	204
5223	169
34388	62
34836	185
26558	217
31842	247
36095	66
3567	144
19412	165
1545	143
20984	81
50219	253
5273	39
37049	206
31969	187
3602	185
9470	66
27175	207
21724	229
40775	82
40289	241
48440	37
20025	204
49585	66
39616	217
10399	229
28707	201
32149	154
4820	204
682	185
5095	118
25849	149
29560	240
20667	6
24815	200
41595	332
23861	99
19006	293
8481	223
2256	292
19401	44
1139	30
1668	52
21015	331
8275	161
49065	141
29447	250
22206	116
7736	20
38563	217
10643	84
40191	9
29782	350
7592	48
51125	231
35917	82
5841	134
31360	16
12657	245
47642	34
5154	141
23892	119
18221	199
34773	17
15744	154
47953	42
7675	135
34398	331
17394	32
43038	104
48302	159
5375	210
49350	52
4040	210
48731	34
19517	247
36640	72
41003	130
13241	267
32980	217
37817	22
26994	171
50406	217
10849	36
16030	9
1775	267
6937	75
31226	285
8094	58
49690	233
27985	207
37025	162
50808	331
40161	84
45733	168
34096	84
6459	293
9980	242
46891	54
48700	229
48647	322
32647	273
21721	117
38978	293
42327	99
505	88
16622	169
37083	75
38520	240
41871	281
14463	149
23726	54
3527	4
36209	71
12143	273
4374	138
31972	341
36446	195
17227	99
25201	123
48204	322
764	99
29518	217
23517	31
33233	247
35188	82
46916	4
43015	275
40480	271
9829	104
43255	30
17584	118
27475	88
50377	213
24880	329
47611	4
37827	37
597	27
39196	326
6258	71
13813	37
17109	16
804	245
43428	115
1878	168
327	313
11567	329
44417	6
47947	216
33000	143
27638	35
31025	71
15416	79
34452	339
29979	35
22503	4
19093	195
15521	228
22938	168
15873	293
16927	170
18312	204
11236	50
47263	88
49839	117
43914	30
28039	37
7945	37
9286	241
40059	277
40855	227
22359	273
8020	275
37787	178
35367	322
6274	229
42027	72
25459	42
14447	168
2364	9
48961	41
27679	253
3511	159
35292	231
13030	4
19549	178
8366	344
8839	313
33988	301
11642	39
51455	207
380	178
18156	199
7046	329
1035	12
18736	16
7548	242
13395	274
47142	87
20233	151
15710	37
23573	185
28537	81
43534	332
4703	313
18942	159
36112	42
7013	121
23784	242
5491	213
47145	4
38916	10
5443	242
30898	273
1080	162
2217	32
2406	16
40032	68
15766	46
13380	9
40277	79
23379	229
14794	116
50944	45
26445	88
21569	241
35077	223
18886	266
28910	227
3259	30
21389	54
20464	268
38156	13
45675	252
7103	329
19422	37
49546	9
35771	199
31750	126
6860	82
6123	123
24217	15
38015	58
49931	144
11699	266
11079	6
15499	71
37039	48
34892	57
39508	101
41602	86
43563	260
3848	11
6741	326
2342	260
42222	231
586	54
42411	203
32785	343
12975	266
50056	240
32996	293
28340	84
11580	241
17533	322
12246	256
15235	231
35732	321
655	82
5661	149
1682	274
9147	200
41319	33
18430	239
39826	326
5157	72
34908	216
6934	227
1278	75
5193	295
9065	34
10966	86
46315	66
1843	331
9103	50
31458	13
9264	205
24275	57
44621	45
12208	242
8084	34
30584	168
868	204
28072	339
12715	273
9368	71
29368	293
1934	231
39433	127
20381	248
20146	138
6004	157
4914	1
49475	4
16821	31
40254	214
46569	185
21605	158
2716	31
14523	292
27641	147
26252	326
23448	127
20241	104
10687	76
45818	165
7035	301
49814	116
7779	273
211	13
7938	159
7217	248
31627	210
17325	48
47856	250
16304	76
36129	157
35263	45
36783	173
11685	82
33994	58
31263	326
5297	263
16985	37
18104	207
42086	84
38100	276
15876	206
26500	154
11960	34
29323	228
16723	136
16114	1
21276	1
2802	165
14582	271
11062	99
12575	39
47829	52
41482	58
31768	144
9982	302
7072	283
46321	310
