24137	140 22 
3426	189 461 22 79 153 398 
29766	140 22 289 78 306 533 
27507	22 122 398 
13532	189 22 
18729	255 8 22 461 153 398 
21587	189 33 461 22 398 153 
14017	33 140 22 114 
32629	22 58 
26201	153 22 461 
22070	331 22 273 
14103	22 538 277 306 242 238 
25668	398 22 461 483 506 206 242 153 
23088	22 398 533 521 
2697	242 312 15 26 132 175 389 22 
3927	302 189 521 22 
26918	289 22 
26180	398 306 22 
14516	114 22 
21788	78 306 189 302 460 521 22 242 
30847	58 242 477 22 
30864	533 22 
20597	122 22 538 247 242 533 
8215	242 22 533 
16306	22 237 140 26 
33246	302 22 
28615	22 474 
18049	22 114 
5068	289 22 
8613	289 22 
32804	14 242 84 22 
29504	22 114 
33467	296 533 22 
1238	506 206 242 346 461 367 22 153 
7390	308 22 122 
844	140 22 
23993	22 331 204 
12985	22 130 273 
26966	114 140 22 
13843	58 22 
25271	533 22 207 
72	461 44 308 300 302 153 22 
34108	207 22 
23446	204 475 22 
34226	22 117 93 346 
17326	398 22 
1518	33 302 22 
5596	461 22 207 328 153 
2195	58 22 331 
13867	189 521 22 
25630	521 22 189 
3179	22 207 
18394	22 306 78 
21848	22 533 
14230	207 22 
29564	78 306 22 189 521 302 
24371	102 22 
5899	114 22 
11445	300 22 
33244	22 398 
2254	22 153 461 44 302 289 290 
8978	79 153 189 461 398 22 242 
27666	84 22 331 271 
349	22 205 533 521 86 
16676	22 189 
8374	114 289 22 
5004	3 22 
21145	289 114 22 
4534	22 437 246 8 
17610	58 242 175 22 95 275 
7322	22 58 331 
17702	22 273 130 
16505	521 33 22 
24029	22 485 
24944	506 206 242 538 22 140 
29390	521 22 533 
31229	22 130 
1031	22 533 
1843	22 207 398 426 153 461 
11553	33 22 114 
32577	289 114 22 
5600	122 321 22 
1113	352 331 474 130 22 
23437	22 3 
25203	22 371 242 140 306 418 390 
8046	140 189 22 207 398 
25895	302 426 289 22 
6911	22 288 
10815	11 22 277 331 130 122 
3031	500 189 22 
11352	398 22 189 
12813	22 273 
5486	308 122 22 
30151	58 22 
28930	205 22 135 
3925	521 189 22 
28046	377 288 22 
18152	22 189 521 242 
28368	461 22 302 398 153 189 79 
27526	27 437 385 368 22 78 
25208	22 204 475 
26904	308 426 22 271 122 
23987	22 521 
1242	22 194 442 117 93 
2949	14 22 242 521 454 140 175 
11706	22 175 242 
1841	22 130 273 
7825	22 114 
20635	22 66 
10522	205 437 303 533 22 
20737	66 538 22 247 425 242 
24901	22 114 
28714	22 461 272 153 131 398 116 155 
335	35 431 22 242 
23959	403 533 22 242 60 
22111	140 242 22 
16304	539 277 22 
23523	242 22 398 225 207 
18346	114 22 
10000	521 296 22 533 
671	22 140 284 26 242 
29202	22 11 539 
26292	371 306 22 175 14 487 242 
32429	22 398 
11280	22 521 189 140 
12764	204 84 22 
10753	22 93 
30121	22 533 
276	114 140 22 
5969	26 140 22 289 
20925	22 437 153 385 93 128 368 
11566	273 22 
28919	58 521 22 
11914	31 273 22 404 331 
31539	60 22 302 242 35 131 
31266	22 189 
19022	487 302 242 22 
11475	288 22 
2293	398 521 33 86 22 
7866	93 117 22 
4785	79 461 22 207 153 33 
17695	461 367 22 242 153 506 206 538 404 
25754	22 426 
31094	58 22 
2712	331 58 22 521 181 
12880	22 296 461 114 153 79 
17207	114 22 289 
27513	22 242 506 206 367 84 476 404 153 461 
31107	153 483 22 485 461 
32621	289 22 33 114 
3746	398 302 22 114 
15475	461 22 398 483 153 
11826	79 22 242 114 153 461 493 
21022	22 310 
16895	306 153 155 296 22 461 
4453	533 242 22 538 348 
24520	325 60 22 403 242 140 
17319	114 22 
5666	22 114 
7038	28 204 22 475 
29921	22 306 
34086	130 44 461 153 331 22 
3322	22 289 
7724	302 22 8 398 306 78 
24436	108 22 242 
109	533 306 22 242 431 
25437	302 289 22 122 
8418	398 302 22 306 78 
31387	140 22 521 
17954	153 461 242 22 225 398 207 
22197	437 22 368 346 294 385 
31752	461 289 153 44 22 
16191	306 22 78 
16364	22 533 
9845	290 22 53 66 
8685	313 242 14 175 22 
8119	22 321 306 
29524	331 130 273 22 
19490	153 22 151 461 205 300 
6208	288 28 22 204 58 
31447	22 289 26 
3956	22 273 390 418 
34097	398 306 22 
976	22 461 533 205 153 
21129	461 22 331 153 273 130 
27687	398 153 22 461 
25807	483 22 189 153 461 
10231	22 411 398 
11965	22 521 189 
30055	331 22 
6787	114 487 242 22 
25813	242 482 22 175 
1776	533 521 22 
14372	533 22 
33470	454 398 306 22 
10935	189 79 398 22 461 153 
17840	22 66 387 521 
30643	22 398 277 480 
15500	306 22 242 140 477 189 
7677	506 206 207 272 22 242 133 
24421	367 306 461 22 78 153 290 
12191	398 242 207 60 22 303 437 
20617	273 22 
6151	22 204 
16081	521 22 
26435	22 277 
28524	22 7 140 290 242 
29297	189 461 398 153 154 22 
16521	289 114 22 33 
2354	3 22 
16036	533 11 22 
29737	22 296 425 247 538 242 
25970	22 58 
10266	533 22 
13568	102 22 
11925	33 268 22 207 
31729	8 521 242 309 22 
11961	296 533 303 22 437 153 461 
3672	242 175 487 306 22 
14864	242 536 15 247 533 22 538 
9833	22 257 
34114	22 301 398 153 461 
13959	22 454 302 306 
30060	130 22 
22314	22 273 
11803	521 189 22 
31606	79 461 153 398 22 
28649	296 22 533 
27328	8 22 11 153 461 483 242 
5468	533 22 521 
9688	22 331 175 242 415 461 153 454 44 
14797	114 22 418 
28339	84 482 22 
22832	418 302 22 84 140 
17922	204 22 
11973	22 538 242 140 
15376	22 204 
8168	22 485 153 44 461 
30533	398 189 22 
2134	140 242 371 306 22 
26002	242 22 114 289 
30717	533 242 22 
13016	22 306 78 426 
17917	22 533 
20079	22 114 
3483	255 398 271 22 
10833	22 33 461 398 79 153 
25921	175 289 22 242 
8262	78 306 22 521 398 
9110	22 277 
24459	22 454 242 175 398 
6424	58 22 102 
22670	22 242 175 306 
20028	242 22 175 454 
913	22 58 
12685	493 22 446 485 346 242 117 93 
4734	58 22 
4609	22 114 140 289 
17501	78 306 22 
8056	487 22 242 87 
27764	22 296 
18019	58 22 
28941	114 22 
1207	454 22 175 242 
33409	84 454 482 22 
30089	22 288 
10193	22 306 86 302 347 521 
19505	102 22 390 
25380	15 22 477 242 26 
14615	22 33 114 189 
18178	130 313 22 331 
26724	204 475 22 
22836	476 431 454 175 242 22 482 271 306 14 487 
15118	22 533 
4298	22 533 
22857	204 521 22 
14146	498 289 22 
27394	370 521 22 242 175 
2011	385 22 368 437 331 
4502	22 289 418 114 
3655	460 34 255 140 189 22 398 242 312 
31868	22 204 
24122	289 426 22 122 398 533 3 
13085	474 22 
18641	22 289 122 
4192	73 93 22 
2275	426 22 
24697	533 22 
29700	22 454 175 487 242 
18519	86 390 22 58 
10797	153 426 461 22 122 
4231	302 273 22 
15325	302 480 22 
9015	306 22 
30611	22 114 
13545	22 289 
21188	242 485 22 302 398 431 403 131 
11229	306 205 302 78 22 
6808	302 131 176 22 
3073	114 22 140 
9740	22 114 
34156	398 533 78 22 
4256	44 22 398 153 272 357 461 
14314	22 538 14 175 464 242 482 
14170	22 302 
5560	31 494 390 95 58 22 331 
3400	22 290 
9568	242 15 58 288 22 102 
33350	22 454 312 487 242 272 55 
27636	114 289 140 22 
3900	130 22 273 
22444	306 22 398 78 
7015	431 53 140 242 290 22 
32393	22 204 
32732	130 306 22 273 
30844	3 22 366 
4650	22 58 144 
32121	33 289 22 114 
9572	461 153 302 22 79 
3700	22 533 
31630	289 418 22 114 
16564	521 22 
20854	533 22 
25	22 302 
14071	189 22 398 
11737	22 461 289 153 114 418 271 
9590	398 207 22 33 
2987	415 22 483 321 461 33 302 153 
166	283 22 483 153 461 
3921	271 288 84 22 
7483	22 207 331 130 404 474 
22397	140 22 26 521 
499	289 114 22 140 
18267	283 22 
4606	288 494 22 
9844	190 461 153 155 22 437 114 343 
5462	22 289 
1612	140 398 22 
7538	22 58 122 
18411	398 302 22 189 521 
5448	242 95 175 22 58 166 
5388	22 290 140 
12809	283 461 483 22 153 
3949	296 22 303 533 437 521 
31405	22 289 367 153 418 461 
23860	189 22 
21570	22 242 460 521 
33595	26 22 140 
25054	22 189 
32339	454 55 272 22 509 413 488 312 175 483 461 242 364 153 528 
14514	521 140 284 242 26 22 
3134	22 204 
18881	415 461 44 431 22 153 242 302 
111	302 398 22 306 
21849	22 533 
29740	153 125 114 312 22 272 100 295 191 461 
3153	377 22 
1661	22 102 
2433	306 289 22 78 
24077	58 29 22 
